timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729420913,30018,Create Post,500,,Stress Test  1-70,text,false,Status code should be 200,773,581,82,144,http://localhost:8081/api/post/auth/creator,30018,0,0
1697729420969,30026,Create Post,500,,Stress Test  1-44,text,false,Status code should be 200,773,581,81,143,http://localhost:8081/api/post/auth/creator,30026,0,3
1697729391315,59856,Login,500,,Load Test  2-14,text,false,Status code should be 200,1185,1182,14,143,http://localhost:8081/,29841,0,0
1697729391315,29841,Login-0,302,,Load Test  2-14,,true,,412,742,14,143,http://localhost:8081/authenticate,29841,0,0
1697729421156,30015,Login-1,500,,Load Test  2-14,text,false,,773,440,14,143,http://localhost:8081/,30014,0,0
1697729421062,30200,Register Random User,500,,Spike Test  4-94,text,false,Status code should be 200,773,677,39,142,http://localhost:8081/api/users/,30199,0,1
1697729421275,30034,Login,200,,Spike Test  4-78,text,false,"Responce body as text should contain ""LOGOUT""",11118,1181,38,141,http://localhost:8081/login?error,30027,0,0
1697729421275,30027,Login-0,302,,Spike Test  4-78,,true,,423,730,38,141,http://localhost:8081/authenticate,30027,0,0
1697729451303,6,Login-1,200,,Spike Test  4-78,text,true,,10695,451,38,141,http://localhost:8081/login?error,6,0,0
1697729412021,39319,Delete Post,500,,Stress Test  1-98,text,false,Status code should be 200,773,593,80,140,http://localhost:8081/api/post/auth/manager?postId=1518,39319,0,0
1697729421410,30188,Register Random User,409,,Stress Test  1-59,text,false,Status code should be 200,689,677,79,139,http://localhost:8081/api/users/,30188,0,1
1697729421826,30017,Delete Post,500,,Spike Test  4-9,text,false,Status code should be 200,788,609,38,139,http://localhost:8081/api/post/auth/manager?postId=1522,30017,0,0
1697729421832,30013,Create Post,500,,Spike Test  4-3,text,false,Status code should be 200,773,581,38,139,http://localhost:8081/api/post/auth/creator,30013,0,0
1697729451846,11,Delete Post,400,,Spike Test  4-3,text,false,Status code should be 200,800,587,38,139,http://localhost:8081/api/post/auth/manager?postId=,11,0,1
1697729421447,30423,Register Random User,409,,Stress Test  1-9,text,false,Status code should be 200,689,677,78,139,http://localhost:8081/api/users/,30423,0,2
1697729421726,30184,Register Random User,500,,Stress Test  1-31,text,false,Status code should be 200,773,677,78,139,http://localhost:8081/api/users/,30184,0,2
1697729422145,30034,Login,200,,Spike Test  4-77,text,false,"Responce body as text should contain ""LOGOUT""",11118,1157,38,138,http://localhost:8081/login?error,30025,0,0
1697729422145,30025,Login-0,302,,Spike Test  4-77,,true,,423,706,38,138,http://localhost:8081/authenticate,30025,0,0
1697729452171,8,Login-1,200,,Spike Test  4-77,text,true,,10695,451,38,138,http://localhost:8081/login?error,7,0,0
1697729421812,30392,Register Random User,409,,Spike Test  4-93,text,false,Status code should be 200,689,677,37,137,http://localhost:8081/api/users/,30392,0,1
1697729422570,30178,Register Random User,500,,Spike Test  4-92,text,false,Status code should be 200,773,677,37,137,http://localhost:8081/api/users/,30178,0,2
1697729422832,30038,Login,200,,Stress Test  1-25,text,false,"Responce body as text should contain ""LOGOUT""",11118,1177,77,136,http://localhost:8081/login?error,30032,0,2
1697729422832,30032,Login-0,302,,Stress Test  1-25,,true,,423,726,77,136,http://localhost:8081/authenticate,30032,0,2
1697729452864,6,Login-1,200,,Stress Test  1-25,text,true,,10695,451,77,136,http://localhost:8081/login?error,6,0,0
1697729423247,30184,Register Random User,500,,Stress Test  1-8,text,false,Status code should be 200,773,677,76,136,http://localhost:8081/api/users/,30184,0,2
1697729423311,30183,Register Random User,500,,Spike Test  4-91,text,false,Status code should be 200,773,677,37,136,http://localhost:8081/api/users/,30182,0,2
1697729423490,30036,Login,200,,Spike Test  4-76,text,false,"Responce body as text should contain ""LOGOUT""",11118,1197,36,135,http://localhost:8081/login?error,30029,0,2
1697729423490,30029,Login-0,302,,Spike Test  4-76,,true,,423,746,36,135,http://localhost:8081/authenticate,30029,0,2
1697729453519,7,Login-1,200,,Spike Test  4-76,text,true,,10695,451,36,135,http://localhost:8081/login?error,6,0,0
